author,text,clean_text,likeCount,publishedAt,sentiment
@kafficecco,Todavía no aparece ninguna perra por parte de Vladimir,todava aparece ninguna perra por parte de vladimir,0,2025-06-21T16:16:54Z,neutral
@IngamBasar-g3h,I just can’t get over fm ❤,cant get fm,0,2025-06-21T15:33:12Z,neutral
@DeborahBarmes,Speaks for itself,speaks,0,2025-06-21T15:24:01Z,neutral
@Cryptati0n,2 billion views. This song is monumental.,billion views song monumental,0,2025-06-21T15:07:18Z,neutral
@EdsonBeatsz,"Duvido muito do Brasileiro criar musica que falam sentimentos e segredos profundos, tristes que teriam tanta viws .",duvido muito brasileiro criar musica que falam sentimentos e segredos profundos tristes que teriam tanta viws,0,2025-06-21T14:45:32Z,neutral
@THE-GRAND-REGENT,I don't know why people associated me with this freddie mercury guy,dont know people associated freddie mercury guy,0,2025-06-21T14:44:57Z,neutral
@UdhumSingh-gn4eg,I like 4:17,like,0,2025-06-21T14:27:55Z,neutral
@GEERS-xt5dg,Anyone from July 2025?,anyone july,1,2025-06-21T13:58:54Z,neutral
@local3mechanic,Greatest Song Ever composed,greatest song ever composed,0,2025-06-21T13:11:34Z,positive
@SwarnimKarki-g4r,Such a fantastic thought that Freddie expressed 👀♥️🥲,fantastic thought freddie expressed,0,2025-06-21T13:01:05Z,positive
@MarisolGonzalez-vs9vd,Españoles,espaoles,0,2025-06-21T12:20:06Z,neutral
@ChristinaWillets,"It’s difficult to be visible on a Queen video with a comment, but I hope my comment atleast reaches someone. This is my antidepressant. The power of music is crazy. This song and “Clover Cage - Now I’m Motivated” are the two songs that helped with my depression. I just want people to know it does get better. I love you 💕😊",difficult visible queen video comment hope comment atleast reaches someone antidepressant power music crazy song clover cage im motivated two songs helped depression want people know get better love,10,2025-06-21T12:18:40Z,neutral
@wesleypantino2768,almost 2b views,almost b views,0,2025-06-21T12:18:09Z,neutral
@user-2119,フレディよ永遠に。,,3,2025-06-21T12:14:14Z,neutral
@Vib-Ribbon_2763.,Hey siri,hey siri,0,2025-06-21T11:56:48Z,neutral
@amaisiori,なんとかなっぺ🐥,,0,2025-06-21T11:33:29Z,neutral
@cardocapalot3613,Sent chills down my spine.,sent chills spine,0,2025-06-21T10:55:09Z,neutral
@sakajyuuji,曲調が変わって、駆け巡る様な感じなのは、さながら人生模様と同じなのかな思わされる。,,0,2025-06-21T09:40:00Z,neutral
@Gerl0X_23,"1/5 , a mi me valio madre, yo desperte a ese wey",mi valio madre yo desperte ese wey,1,2025-06-21T08:38:54Z,neutral
@AlisaBrsh,"What did i miss.....
Thanks for chatgpt because i ask him who is your favourite song...and he said this song",miss thanks chatgpt ask favourite songand said song,1,2025-06-21T07:50:58Z,neutral
@ROYALGAMING-wn3zl,Chatgpt said he will listen to this song so I am here❤,chatgpt said listen song,1,2025-06-21T07:45:05Z,neutral
@TakumiTheFAUSTScientist,If we didn't heard this song when they introduced Thragg in Invincible S4 especially on this part 4:09 we will going to riot lmao,didnt heard song introduced thragg invincible especially part going riot lmao,1,2025-06-21T07:44:18Z,positive
@Gergwater,Almost 2 billion views is insane,almost billion views insane,0,2025-06-21T07:27:33Z,negative
@SampadSB,My chatgpt told me about this song but why?,chatgpt told song,0,2025-06-21T05:41:43Z,neutral
@FaggersonjojoJojo,This song are so real for Freddy life,song real freddy life,2,2025-06-21T04:39:39Z,neutral
@IHATEESCO,2025,,1,2025-06-21T04:00:28Z,neutral
@Yasinaytacaytac,🤨you understand now 😡,understand,0,2025-06-21T03:08:22Z,neutral
@joannemcdonald3500,Penny Miller we will not let people go. Energy efficient appliances.,penny miller let people go energy efficient appliances,0,2025-06-21T03:05:53Z,neutral
@PcPc-b2p,2025 😂❤,,1,2025-06-21T02:42:05Z,neutral
@BlottyWellRite,My prediction...10 years from now...3 million views.,prediction years million views,1,2025-06-21T02:33:12Z,neutral
@BlottyWellRite,Can't wait till this gets to a million comments!,cant wait till gets million comments,1,2025-06-21T02:28:28Z,neutral
@urielvelasquez-e1t,Ey,ey,0,2025-06-21T02:04:49Z,neutral
@patrickshaneomarra5162,Best piece ever performed by a rock group.,best piece ever performed rock group,0,2025-06-21T01:29:19Z,positive
@BZDAD-n9r,One person watching in June just to hear the song that had reentered the conversation,one person watching june hear song reentered conversation,0,2025-06-21T01:06:40Z,neutral
@Real_arelin,Yes,yes,1,2025-06-21T00:50:38Z,neutral
@Olivia22677,Chat gpt suggestion me this song 😭🥲,chat gpt suggestion song,1,2025-06-21T00:32:02Z,neutral
@elizabethseejore5695,Anybody listening in 2059???,anybody listening,0,2025-06-20T23:33:20Z,neutral
@yousefasser709,Make it 2 billions guys,make billions guys,1,2025-06-20T23:03:19Z,neutral
@outgrown3094,"1576 DAYS listening to Bohemian Rhapsody everyday, until im famous 21st june",days listening bohemian rhapsody everyday im famous st june,0,2025-06-20T23:00:49Z,neutral
@loriedeebanayat9713,Nothing can beat this band❤,nothing beat band,2,2025-06-20T22:47:17Z,neutral
@Tryhard_Turtle,The fact that this has 1 billion views is crazy,fact billion views crazy,1,2025-06-20T22:11:11Z,negative
@Av-30-6,1940 al 20/6/25,al,1,2025-06-20T22:08:00Z,neutral
@fdgdsgdgdg7454,60 millions away from 2 billions views let's go!!! Best song of all time,millions away billions views lets go best song time,2,2025-06-20T21:40:35Z,positive
@ALEX-tx6lf,Saludos terricolas 25 Dic 2027,saludos terricolas dic,1,2025-06-20T21:25:14Z,neutral
@VincentAtkins2011,0:57 The calmest I’ve ever head someone react to killing a man,calmest ive ever head someone react killing man,1,2025-06-20T21:09:02Z,neutral
@kaushikandugulapati5025,2:24 to 2:40,,0,2025-06-20T20:36:56Z,neutral
@Namira-e,The Bismillah 😂😂,bismillah,0,2025-06-20T20:24:19Z,neutral
@CoyoteStarrk-number1,Bir dənə də olsa Azərbaycanlı var?,bir dn olsa azrbaycanl var,0,2025-06-20T20:23:43Z,neutral
@Deadeye24,Who watching and rlly wants the live PROFOMENCE,watching rlly wants live profomence,0,2025-06-20T19:43:29Z,neutral
@НадяК-е4л,Июнь 2025😢❤,,1,2025-06-20T19:37:32Z,neutral
@FaithFetters,anyone july 2025,anyone july,1,2025-06-20T19:14:44Z,neutral
@ricardocuero-d6t,Viva la Reyna ❤❤❤❤ Colombia ❤❤❤,viva la reyna colombia,1,2025-06-20T18:53:11Z,neutral
@zahranassir2563,INMORTAL,inmortal,0,2025-06-20T18:53:03Z,neutral
@the-mask-girl1232,Whos here from green at 2025 from Download 😂😂😂😂,whos green download,0,2025-06-20T18:33:19Z,neutral
@Mareen-y9g,🎸 Freddie Mercury❤😘,freddie mercury,1,2025-06-20T18:07:11Z,neutral
@gainmaster1,I miss this fricking song. Whos with me?,miss fricking song whos,0,2025-06-20T17:56:56Z,neutral
@KayBerlis,Someone Here 2025?...,someone,1,2025-06-20T17:56:30Z,neutral
@Nandinhaa.7,Sem palavras!!!!!!!!!!!! ❤,sem palavras,1,2025-06-20T17:47:33Z,neutral
@SpencerFern,"Farrokh Bulsara found new employment
She knows how the wind blows",farrokh bulsara found new employment knows wind blows,0,2025-06-20T17:44:34Z,neutral
@stackoverflow1985,Simply one of the best songs ever written.,simply one best songs ever written,0,2025-06-20T15:33:58Z,positive
@josemanuel9125,Quien del 2050?,quien del,0,2025-06-20T15:22:51Z,neutral
@adrianavasquez5226,descansa en paz fredie,descansa en paz fredie,0,2025-06-20T14:42:12Z,neutral
@holiiiiiiiiiii,Anyone in 2030?,anyone,1,2025-06-20T14:29:18Z,neutral
@ServeScarlet,"I played drums when I was 11 at my school 2this song. (Im 34)
The class sang.. my best friend played guitar.


The teacher got suspended 😂",played drums school song im class sang best friend played guitar teacher got suspended,1,2025-06-20T11:21:17Z,positive
@LeoSerino-f6f,Wow I used to listen to this song I tried to look for it then I found this,wow used listen song tried look found,0,2025-06-20T10:40:50Z,neutral
@MarioKraft-nm4kl,"Hat Ähnlichkeiten mit:
Der Platzierung Nr.""45""
In meinen Persönlichen Top""50""Charts....?!!!!""👽""",hat hnlichkeiten mit der platzierung nr meinen persnlichen topcharts,0,2025-06-20T09:48:09Z,neutral
@dominikazieba35,Love Fredie❤❤❤❤❤❤,love fredie,0,2025-06-20T09:28:06Z,positive
@dominikazieba35,❤,,0,2025-06-20T09:27:37Z,neutral
@outgrown3094,"1575 DAYS listening to Bohemian Rhapsody everyday, until im famous 20th june",days listening bohemian rhapsody everyday im famous th june,0,2025-06-20T07:56:43Z,neutral
@nadiyaakthare583,Not bismillah getting me,bismillah getting,0,2025-06-20T06:25:12Z,neutral
@isaachernandez7437,Una verdadera obra maestra 😎🎵,una verdadera obra maestra,0,2025-06-20T06:16:28Z,neutral
@Blosshy,3:10 Scaramouche? Like in genshin.?,scaramouche like genshin,0,2025-06-20T05:52:31Z,neutral
@lainadoan7925,Whenever I listen to this song my butt itches!!! 🎉🎉🎉🎉🎉🎉🎉❤️‍🩹🌹🔋😊,whenever listen song butt itches,0,2025-06-20T05:30:58Z,neutral
@penquin_a,3:57 The elder poop has a devil motercycle,elder poop devil motercycle,1,2025-06-20T04:51:02Z,neutral
@いせ-i5d,ハニーおはよー,,0,2025-06-20T04:28:36Z,neutral
@daimendimen,Miss you mom ❤️,miss mom,1,2025-06-20T03:34:31Z,neutral
@milos_dshock,alguien en 2025,alguien en,1,2025-06-20T03:26:55Z,neutral
@BhabatoshDebnath-r3c,Is there anyone who's listening in the later of June,anyone whos listening later june,0,2025-06-20T03:24:46Z,neutral
@EdwardLance6,This remains popular no matter the age? I hope so...,remains popular matter age hope,1,2025-06-20T02:09:59Z,positive
@slayer12456,And mamaaaaaa ooowoo I don't wanna die but sometimes wish I've never been bored at all,mamaaaaaa ooowoo dont wanna die sometimes wish ive never bored,0,2025-06-20T01:14:05Z,positive
@Babycobrasnake,IT SOOOOOOOOO GOOD,sooooooooo good,0,2025-06-20T01:12:49Z,positive
@josephSmothersSR,I'm still playing this in 2025,im still playing,0,2025-06-20T00:57:17Z,neutral
@davezadick9021,I HATE THIS SONG,hate song,0,2025-06-20T00:19:28Z,negative
@Heriberto-jx2le,"Nunca me saldría,de mi Alma ❤",nunca saldrade mi alma,1,2025-06-19T22:51:34Z,neutral
@nibiareinoso1389,"❤❤❤❤ GENIOOO ÚNICO 
NADIEEEE IGUAL MARCO LA DIFERENCIA.
MI GRAN AMOR 💝💗💗💗💗💗",geniooo nico nadieeee igual marco la diferencia mi gran amor,1,2025-06-19T21:50:53Z,neutral
@meagan7954,All my childhood our mom instilled in us to play this at her funeral.... And in 2016 we did just that for her ... Love u mom !!!,childhood mom instilled us play funeral love u mom,5,2025-06-19T21:38:25Z,positive
@Elena1304-Bagira,❤2025❤❤❤❤❤❤,,1,2025-06-19T21:37:33Z,neutral
@St_Dzhozef,Vay be,vay,0,2025-06-19T20:49:53Z,neutral
@innocenzosantoro,3:39 BISMILLAH!,bismillah,2,2025-06-19T20:07:18Z,neutral
@reiayanami-w5k9b,"amo esta cancion, a pesar de que ya estamos en 2025 sigue siendo una leyenda",amo esta cancion pesar de que ya estamos en sigue siendo una leyenda,1,2025-06-19T19:59:47Z,neutral
@ChristaHolt-r8x,"Sweet 🧁🎂 little girl 
Tha Ramones... Sounds Of though 
Thought God 🧐 todaaaaaaaaaaaaayyy 😢😊",sweet little girl tha ramones sounds though thought god todaaaaaaaaaaaaayyy,0,2025-06-19T19:55:24Z,neutral
@volodiakoblov9161,Путин поет Богемскую Рапсодию по Украине.  Маньяк.,,0,2025-06-19T19:21:01Z,neutral
@volodiakoblov9161,Великолепная история.  Убить человека.  И красивым голосом петь об этом,,0,2025-06-19T19:19:00Z,neutral
@veronicasambora5277,"-   -   -
0:42        0:49        0:50
. . . . .",,0,2025-06-19T18:45:10Z,neutral
@santiagoalvarado1330,3:05😮,,1,2025-06-19T16:40:42Z,neutral
@bluesage4329,Where are the JoJo comments,jojo comments,1,2025-06-19T16:39:33Z,neutral
@gravyboat2753,Great song ♥,great song,0,2025-06-19T15:49:03Z,positive
@Thekiddsszzz2p-q4c,Best queen song.,best queen song,1,2025-06-19T15:42:49Z,positive
@diegoeqwBR,FALTAM 70 MILHOES DE VIEWS PARA 2 BILHOES,faltam milhoes de views para bilhoes,0,2025-06-19T15:33:58Z,neutral
@Them2-p8g,This ain’t a song. It’s a six-minute soul sacrifice.” 🖤🎼,aint song sixminute soul sacrifice,0,2025-06-19T15:19:19Z,neutral
@zsygnus7613,anyone 692 BC?,anyone bc,1,2025-06-19T15:08:52Z,neutral
@sandraaguirre4227,Memory of fredie mercury,memory fredie mercury,0,2025-06-19T15:05:17Z,neutral
@Hitemwhereithurtss,70s Queen is the best,queen best,0,2025-06-19T15:05:00Z,positive
@sandraaguirre4227,Esta banda es perfecta 🎉🎉🎉,esta banda es perfecta,1,2025-06-19T15:04:27Z,neutral
@ليناشاهين-ل6ظ,2:20 بريمووووو حبيتا؟,,0,2025-06-19T14:54:43Z,neutral
@ChamadaReflexão,Amo flashback,amo flashback,0,2025-06-19T14:41:27Z,neutral
@wijosenofamily3296,Galileo🗣,galileo,0,2025-06-19T14:21:01Z,neutral
@KochamQueen,Queen - najpiękniejsze co istnieje dotychczas w świecie muzyki. Najpiękniejsze.❤,queen najpikniejsze co istnieje dotychczas w wiecie muzyki najpikniejsze,1,2025-06-19T13:28:36Z,neutral
@forexbasicstradewiththeban1971,the message of the song has dramatic ang demonic,message song dramatic ang demonic,1,2025-06-19T13:24:01Z,negative
@tapanchowdhury8882,Man i wish Chester and Frieddie could've sang together ❤❤,man wish chester frieddie couldve sang together,1,2025-06-19T13:23:31Z,neutral
@zaidalksi,Ive heard this way to many tines that i could never forget the lyrics.. You will never be forgotten freddy.,ive heard way many tines could never forget lyrics never forgotten freddy,0,2025-06-19T12:58:31Z,positive
@ケンクマ,ママァーー！！！,,1,2025-06-19T12:41:52Z,neutral
@outgrown3094,"1574 DAYS listening to Bohemian Rhapsody everyday, until im famous 19th june",days listening bohemian rhapsody everyday im famous th june,0,2025-06-19T10:28:12Z,neutral
@paolacastro5236,"I'm not sure why these song gives me the feeling that a person thats going thru i don't a rough childhood 
In there home and they felt obligated to take matters in there own hands.Im sorry if i offend with my post thats the way i feel some of you will understand.Thank you",im sure song gives feeling person thats going thru dont rough childhood home felt obligated take matters handsim sorry offend post thats way feel understandthank,0,2025-06-19T10:07:48Z,neutral
@OmArC21492,Anyone June 2025?🤔🤔,anyone june,5,2025-06-19T08:39:24Z,neutral
@LateefWiredu,❤❤❤,,1,2025-06-19T08:29:28Z,neutral
@INNASOCIAL,The greatest hit..,greatest hit,2,2025-06-19T08:26:19Z,positive
@Kathleen-vq3ox,He looks so beautiful in this video❤,looks beautiful video,1,2025-06-19T07:44:44Z,positive
@Ihatenormalpeoplemuahahaha,Since this song when i really got into music,since song really got music,0,2025-06-19T06:25:11Z,neutral
@torontonewz2458,What a beautiful love song for all the innocent children caught up in Satanic Human Trafficking....... (When the truth behind the lyrics becomes hidden behind the gloss......),beautiful love song innocent children caught satanic human trafficking truth behind lyrics becomes hidden behind gloss,0,2025-06-19T06:23:12Z,neutral
@ErikRühl,Always,always,0,2025-06-19T06:04:08Z,neutral
@gara-ls6tr,Queen Never Die,queen never die,0,2025-06-19T05:04:02Z,neutral
@Jc06105,Get the to 2 billion guys,get billion guys,0,2025-06-19T04:54:05Z,neutral
@markanderson5342,The ultimate.,ultimate,0,2025-06-19T04:31:37Z,neutral
@KayAugust,2025 checkpoint,checkpoint,3,2025-06-19T04:27:02Z,neutral
@dudinha4321ja,My God❤,god,0,2025-06-19T03:45:58Z,neutral
@ESTHERABIGAÍLZEPEDARODRÍGU-o1j,no se que me e pasado por,se que e pasado por,0,2025-06-19T02:58:32Z,neutral
@waqarulhaq9491,This is one song that people still use when they have to check the quality of the speakers. Just close your eyes and observe every sound of the instrument moving from one ear to another. Once you hear the sound of the instrument that is played for only half a second.. don't think twice. Just buy those speakers and thanks Freddy Mercury (RIP)& the Queens for producing such amazing music.,one song people still use check quality speakers close eyes observe every sound instrument moving one ear another hear sound instrument played half second dont think twice buy speakers thanks freddy mercury rip queens producing amazing music,4,2025-06-19T02:33:08Z,positive
@Onedayiamgonnagrowwinga,Listening to this over and over before my final exams feeling like nothing really matter is a weird and great feeling still i wanna be a dermatologist but any way the wind blows (god plssss dermatologyyyyyyyyy:)    Wish me luck plasssssssss (سادس وزاري),listening final exams feeling like nothing really matter weird great feeling still wanna dermatologist way wind blows god plssss dermatologyyyyyyyyy wish luck plasssssssss,5,2025-06-19T02:30:15Z,neutral
@maxsantos518,I cn make you right,cn make right,0,2025-06-19T01:41:48Z,positive
@Ainsleyblume,Chills. Not even joking . CHILLS. I stare at my ceiling and listen to this.,chills even joking chills stare ceiling listen,2,2025-06-19T00:50:29Z,neutral
@FayJohns,I love Queen didn't even know eh they were 6 months ago.,love queen didnt even know eh months ago,0,2025-06-18T22:14:16Z,positive
@marziaorlandi1075,Here,,1,2025-06-18T22:12:54Z,neutral
@Everyone-calm-down,Anyone here November 2026??,anyone november,3,2025-06-18T21:23:30Z,neutral
@Adrianlrmz,Peso pluma is better,peso pluma better,0,2025-06-18T20:10:29Z,positive
@amogus_12390,Is this the real life? Is this just fanta sea?,real life fanta sea,1,2025-06-18T19:46:49Z,neutral
@ErickjhonnyAucachicalle,Las letras son así como esta escrito... /😡😡😠,las letras son como esta escrito,0,2025-06-18T19:46:08Z,neutral
@jhonynaibina,June ???,june,2,2025-06-18T19:41:06Z,neutral
@cornlee_z,Epic song!! XP,epic song xp,1,2025-06-18T18:24:31Z,neutral
@cornlee_z,Love love love this❤❤❤️‍🔥,love love love,1,2025-06-18T18:22:43Z,positive
@ReneAvitia-n3v,Yes,yes,1,2025-06-18T18:06:35Z,neutral
@NeelAdventures,listening to this with new ears right now,listening new ears right,2,2025-06-18T17:56:09Z,positive
@PedroRodriguez-dl5yt,Nothing really matter to me,nothing really matter,1,2025-06-18T17:45:17Z,neutral
@PedroRodriguez-dl5yt,I want to be in a Fandango,want fandango,1,2025-06-18T17:43:19Z,neutral
@TheCube6781,Anyone listening this on 18th June 2025?,anyone listening th june,1,2025-06-18T16:52:55Z,neutral
@vladghelbert8752,А вы перевели как жалею что родился...учите английский язык,,1,2025-06-18T16:22:24Z,neutral
@vladghelbert8752,Не правильный перевод тут...он говорит что желает чтобы не родился вовсе,,1,2025-06-18T16:21:24Z,neutral
@Nishan_Ghimire_Gaming,"Anyone is 2025 June 19th ,20 21",anyone june th,0,2025-06-18T15:49:01Z,neutral
@marquandlewis3952,I love movie. Remi Malik really became Freddie,love movie remi malik really became freddie,0,2025-06-18T15:41:40Z,positive
@zachmarvin7712,Thank God I heard this song in my lifetime,thank god heard song lifetime,1,2025-06-18T14:46:58Z,neutral
@Ledanoi_arbuz52764,1980:queen the best                          2025:queen the best                          10000:queen the best,queen best queen best queen best,1,2025-06-18T14:22:48Z,positive
@TheIconoclast_reqiem,"I like how there little Jojo comment on this song.




Ungalo is not memorable ig",like little jojo comment song ungalo memorable ig,0,2025-06-18T14:08:59Z,neutral
@birgulkantekin1614,We will rock you is too good,rock good,0,2025-06-18T13:58:52Z,positive
@birgulkantekin1614,She sing that good,sing good,0,2025-06-18T13:58:00Z,positive
@birgulkantekin1614,İ LOVE IT❤ ❤❤❤❤❤,love,0,2025-06-18T13:57:34Z,positive
@getagf1698,"This doesn't make any sens

*I LOVE IT*",doesnt make sens love,0,2025-06-18T13:52:25Z,positive
@Futsa,Masterpiece,masterpiece,0,2025-06-18T12:59:56Z,neutral
@INFOVIAGGIAQUASIGRATIS,2025 - ancora qui,ancora qui,0,2025-06-18T11:04:32Z,neutral
@outgrown3094,"1573 DAYS listening to Bohemian Rhapsody everyday, until im famous 18th june",days listening bohemian rhapsody everyday im famous th june,1,2025-06-18T09:43:39Z,neutral
@Tracksuit-Mark-10,Thragg?,thragg,0,2025-06-18T09:32:32Z,neutral
@Michael-p1f6j,Der perfskte Morgen wachmacher im Bad grossartig Ich Liebe diesen Song❤❤❤❤❤❤❤❤❤❤❤❤😅,der perfskte morgen wachmacher im bad grossartig ich liebe diesen song,0,2025-06-18T08:41:56Z,negative
@MarieAgret,Un vrai chef d oeuvre ❤🎉,un vrai chef oeuvre,0,2025-06-18T07:12:22Z,neutral
@EnziMassinissa,legend,legend,0,2025-06-18T05:05:02Z,neutral
@lissyb2950,A❤❤,,0,2025-06-18T05:03:33Z,neutral
@Lucky_Stan84,"❤❤❤❤😊❤❤❤❤❤😊😊😊super ,to moj ulubiony album Queen😊❤",super moj ulubiony album queen,0,2025-06-18T04:46:40Z,positive
@ashlingiza,2025,,0,2025-06-18T04:29:19Z,neutral
@jalejo_,De casualidad alguien vino después de escuchar: Hey Jude?,de casualidad alguien vino despus de escuchar hey jude,0,2025-06-18T04:26:11Z,neutral
@r.e.i_00,"""anyone june 2025"" ""2025 june"" ""who in 2025"" no i'm in fucking 1567 please leave me alone",anyone june june im fucking please leave alone,2,2025-06-18T04:23:00Z,negative
@MussunRusso,2025,,1,2025-06-18T02:50:05Z,neutral
@JonasJonastar,Average legend dad car song:,average legend dad car song,2,2025-06-18T02:36:26Z,neutral
@ころけ-coroke,スネ夫のボヘミアンラプソディからきました！,,0,2025-06-18T01:54:56Z,neutral
@brownegg4821,Love him,love,0,2025-06-18T01:12:49Z,positive
@Nitro_Slayer,"""HE HAS ME"" 🗣🗣🗣🗣🔥🔥🔥🔥🔥🔥",,1,2025-06-18T01:05:51Z,neutral
@MarcoRossetti-e6t,😢,,0,2025-06-18T00:39:38Z,neutral
@annelansheer2530,It's my favorite song,favorite song,0,2025-06-18T00:33:54Z,positive
@Igor-k5f,"Это самая вчетательная песня!Спасибо Фреди Меркури!
Кривбасс!",,1,2025-06-17T21:54:16Z,neutral
@Hipolito.Steinbeck,The kind of music video that you can easily come anytime and still see a comment from five days ago or so... 💙🤍,kind music video easily come anytime still see comment five days ago,0,2025-06-17T21:35:28Z,positive
@MaxFistors,the best),best,0,2025-06-17T21:18:02Z,positive
@一期一会-n6z,天才すぎる！！,,1,2025-06-17T21:11:15Z,neutral
@mustafademonz,how am i keep getting chills what. that’s special :),keep getting chills thats special,0,2025-06-17T20:57:15Z,positive
@ClintLauby,"so at WWE the old writers room, they toor this door down and just moved it down the wall, reminded me of chappelle's description of going crazy at work, then the writers left, empty cubicles next to my pod thing, and i used to nap in there bc 2 hour one way commute on the metro north, for like an hour at lunch daily, no one knew but i told them lol, then....they cleared all that out and installed pop a shot and said it was a break room lol ok pop a shot is fun...but i sleep in here...thats quiet time",wwe old writers room toor door moved wall reminded chappelles description going crazy work writers left empty cubicles next pod thing used nap bc hour one way commute metro north like hour lunch daily one knew told lol thenthey cleared installed pop shot said break room lol ok pop shot funbut sleep herethats quiet time,0,2025-06-17T20:32:12Z,neutral
@thegcia7,Still the greatest male vocalist to ever grace rock,still greatest male vocalist ever grace rock,0,2025-06-17T20:30:47Z,positive
@RhythmicLitwrkrOracle,"143,144",,0,2025-06-17T19:39:23Z,neutral
@KT-c2m,"I don't wanna die. I sometimes wish I'd never been born at all.
👇🏻",dont wanna die sometimes wish id never born,2,2025-06-17T18:44:04Z,neutral
@zivile8402,❤❤,,1,2025-06-17T18:36:03Z,neutral
@MiaSally2,"17/6/2025/.  MERAVIGLIOSA...
......................🥀.  Mia.................🥀",meravigliosa mia,0,2025-06-17T18:34:30Z,neutral
@agashustasy,Песня была написана когда он понял что смертельно болен?,,0,2025-06-17T17:56:52Z,neutral
@gabrielaarias6961,i love queen,love queen,0,2025-06-17T17:31:04Z,positive
@ΕρμιόνηΓκόρου,God fredie love you all planet,god fredie love planet,0,2025-06-17T16:46:09Z,positive
@yonlatif9881,This song so not good to Muslim cause he say bismillah btw are you racist? To Muslim man?,song good muslim cause say bismillah btw racist muslim man,0,2025-06-17T16:24:05Z,positive
